,Unnamed: 0,Date,sentiment,Tweet
44,44,2022-09-16 ,Positive,"On Sept 14, TARGET CORP's high-profile #insider filed his first #Form144

EVP/COO - John J Mulligan plans to sell 39,101 $TGT #shares worth $6.47 M

Broker: FIDELITY BROKERAGE SERVICES LLC

@TargetNews #stockprice is down by 23.46% over the last six months

#insiderselling"
45,45,2022-09-15 ,Positive,"EVP &amp; CFO of BRISTOL-MYERS SQUIBB CO, David V Elkins, filed #Form144 to sell 133,951 #shares of $BMY, valued at $9.52 M

On Sept 13, #insider filed this form144 through FIDELITY BROKERAGE SERVICES LLC

@bmsnews #stockprice increased by 13.66% over the last year"
46,46,2022-09-14 ,Positive,"CB of PRICESMART INC, Robert E Price, filed a #Form144 on Sept 12

The CB plans to sell 80,000 $PSMT #shares worth almost $5.1 M through MORGAN STANLEY SMITH BARNEY LLC

#Stockprice is down by almost 24.20% in the last year

#Bearish #InsiderSelling"
47,47,2022-09-14 ,Neutral,"On Sept 09, HORIZON THERAPEUTICS PUB LTD announced a #buyback of up to $500 million of #shares

@HorizonNews #stockprice has been showing a slight recovery, Opening price on Sept 9 is $63.50, and Closing price on Sept 12 is $66.68

$HZNP #stockmarket #invest"
48,48,2022-09-13 ,Positive,"#Insider at CLOUDFLARE INC filed #form144 on Sept 9

Founder/Chairman/CEO - Matthew Prince disclosed his intention to sell #stock of $NET

#Shares: 471,456
Value: $31.04 M
Broker: GOLDMAN SACHS &amp; CO LLC

@Cloudflare's #stockprice declined by 46.32% in the past year

#bearish"
49,49,2022-09-12 ,Positive,"Chief Executive Officer - Jeremy Andrus at TRAEGER INC, loaded up 68,644 $COOK #shares worth $202k on Sept 7 &amp; 8

@TraegerGrills #stockprice has increased by 30.45% in the last five days

#insiderbuying #stockmarket"
50,50,2022-09-09 ,Positive,"Australian Real Estate firm ""SERVCORP LTD""'s Founder/CEO reported #buy on Sept 7

Alfred (Alf) George Moufarrige purchased 200,000 #shares worth $483,458

In the last month, $SRV's #stockprice rose by 6.31%

#ASX #stockmarket"
51,51,2022-09-08 ,Positive,"ELYS GAME TECHNOLOGY CORP's Exec. Chairman - Michael Ciavarella - stocked up on $ELYS from Sept 1 - 6

#Shares: 103,000
Value: $59k

These #trades marked the 1st #insiderbuying of 2022

@ELYS_Gaming's #stockprice increased by 7.19% in the last five days

#stocks #stockmarket"
52,52,2022-09-07 ,Positive,"On Sept 2, James A. Lawrence, Independent Director of ULTA BEAUTY INC, disclosed his intention to load off $AVT #stock

#Shares: 139,784
Value: $5.97M
Broker: CITY NATIONAL SECURITIES

In the last six months, @Avnet's #stockprice has risen by 6.56%

#Form144 #Bearish"
53,53,2022-09-04 ,Neutral,"#Sanctions are working: This year: #Gazprom #stockprice went down -20%, #Lukoil -27%, #Rosneft -30%.         #westandwithukraine #visaban"
54,54,2022-09-01 ,Negative,Hey @zomato Its Time to #uninstall ha. Check the order No:4306858884. Today was such a disgusting experience with delivery. AND your support was performing far worse than your #stockprice. Candidate keep changing on the same issue that I need to explain the situation every time.
55,55,2022-08-31 ,Positive,"Only way #RetailInvestors can be happy, is when a #Stock continuosly breaks out the previous resistance &amp; define a new #ResistenceLevel.
This way #StockPrice moves up, instead of #Traders just booking profits at a certain level."
56,56,2022-08-29 ,Positive,"#Insider of Chinese dual listed comp. ""DAQO NEW ENERGY CORP"" disclosed his intention to sell 1,500,000 #shares worth $94.1M

On Aug 23, CEO - Longgen Zhang filed this #Form144 through THE CORE SECURITIES CO LTD

In the last six months, $DQ's #stockprice has risen by 49.85%

#sell"
57,57,2022-08-26 ,Positive,"Lauren R Hobart - President/CEO &amp; John Edward Hayes III - General Counsel at DICKS SPORTING GOODS INC filed #form144 on Aug 24

They both plan to sell 80,289 #shares worth $8.67M through E-TRADE FINANCIAL CORPORATION

#Stockprice of $DKS has decreased by 18.34% in the last year"
58,58,2022-08-24 ,Negative,"Seemantini Godbole - EVP/CIO &amp; Bill Boltz - EVP at LOWE'S COS INC filed #Form144 on Aug 19

They both plan to sell 110,393 $LOW #shares worth $23.34M through E-TRADE FINANCIAL CORPORATION

#Stockprice of @Lowes rose by 7.80% since last month but down by 2.37% in past 6 months"
59,59,2022-08-23 ,Positive,"Founder/Chairman/CEO at MONDEE HOLDINGS INC -REDH, Prasad Gundumogula, just invested $426.4k on $MOND as he added 38,240 #shares to his holdings

In the last month, @mondee_official's #stockprice increased by 60.21%

#insiderbuying #stockmarket #invest"
60,60,2022-08-23 ,Positive,"President/Global CEO at PPILGRIM'S PRIDE CORP, Fabio Sandri, sold #stock on Aug 22 as $PPC #stockprice dived by 8.56% in the last month

#Shares: 33,471
Value: $997,297

#insiderselling #bearish #trade"
61,61,2022-08-20 ,Positive,"General Behaviour of Stock prices just after their Earnings release :

If earnings are weak but future outlook is strong -
 The stock price will rally  !

If earnings are strong but future outlook is weak - 
The stock price will fall  !

#stockprice #earnings"
62,62,2022-08-17 ,Positive,"#Form144 filed at GROCERY OUTLET HLDNG CORP, CEO - Eric J Lindberg, Jr. plans to sell 300,000 $GO #shares, valued at $12.15 M

On Aug 12, #insider filed this Form144 through FIDELITY BROKERAGE SERVICES LLC

The #stockprice of @GroceryOutlet increased by 54.57% in the past year"
63,63,2022-08-16 ,Positive,"Executive Director at PALACE BANQUET HOLDINGS LTD, Cheng Man Cheong, sold #stock from Aug 5 - 12 as $1703:HK #stockprice dived by 39.18% YTD

#Shares: 2,320,000
Value: $188,628

#insiderselling #bearish #trade"
64,64,2022-08-12 ,Positive,"Greg Brown - CB/CEO &amp; Cynthia Yazdi - SVP @MotoSolutionsAP filed #form144 on Aug 9 &amp; 10

They both plan to sell 200,886 #shares worth $50.45 million through E-TRADE FINANCIAL CORPORATION

#Stockprice of $MSI has increased by 17.99% in the last 6 months

#Bearish #InsiderSelling"
65,65,2022-08-11 ,Positive,"Ben Lamb - EVP/COO and Barry E Davis - Former CEO at ENLINK MIDSTREAM LLC filed #Form144 on Aug 8

They both intend to sell 798,917 #shares worth $7.43M through CHARLES SCHWAB &amp; CO INC

#Stockprice of $ENLC has increased by 72.16% in the last year

#Bearish #InsiderSelling"
66,66,2022-08-10 ,Positive,"1st #Insiderbuying at INTEGRATED DIAGNOSTICS HLDS after its IPO

From July 29 - Aug 08, Group CEO - Hend El Sherbini bought 6,421,712 #shares worth $5.77 million

In the last month, $IDHC's #stockprice has increased by 27.78%

#invest #smartmoney"
67,67,2022-08-10 ,Positive,"The Founder/CEO - @elonmusk loaded off 7.9M #shares of @Tesla worth $6.9B from Aug 5 to 9

Since Tesla's @Twitter bid, this is Elon Reeve Musk's first #insiderselling reported

The #stockprice of $TSLA has dived by 29.15% YTD

#ElonMuskTesla #TSLA #bearish"
68,68,2022-08-09 ,Positive,#Shell announced another transaction (2.900.000) in own shares for cancellation. These shares purchases form part of Shell's share buy back arrangement previously announced on 28 July 2022. It supports the #stockprice of Shell. #dividend #oil #oilprices #StockToWatch
69,69,2022-08-09 ,Negative,Why do some #investment firms send out alerts to subscribers explaining large #StockPrice increases? Investors always want to know why stock prices are falling.
70,70,2022-08-09 ,Positive,Above the oilprice of $55 a barrel #shell makes profits. Now it is $90 in summer. A fundament for a stationaire #cashflow and #dividend for shareholders next future.#stockprice #dividend #oilprices #stockmarkets #trust #Vanguard #AEX #NSE #Nikkei
71,71,2022-08-09 ,Positive,#Shell announced transaction (3.600.000) in own shares for cancellation. These shares purchases form part of Shell's share buy back arrangement previously announced on 28 July 2022. It supports the #stockprice of Shell. #dividend #oil #oilprices #StockToWatch #stockmarkets
72,72,2022-08-08 ,Positive,"#Form144 filed @GDSHoldingsLtd, Ind. CFO - Daniel A. Newman plans to sell 300,000 $9698:HK #shares, valued at $8.76 M

On Aug 8, #insider filed this Form144 through JP MORGAN SECURITIES LLC

The #stockprice of GDS Holdings Ltd decreased by 24.03% in the last six months"
73,73,2022-08-01 ,Positive,"#Buyback Announcement @U_S_Steel

UNITED STATES STEEL CORP announced on July 28 to #buyback $500 million #shares

#Stockprice increased after the announcement, opening price on July 28 was $21.38, and closing price on July 29 was $23.65

$X #stockmarket #trade"
74,74,2022-07-29 ,Positive,"In a disclosure of 9 #trades, @SenBlumenthal bought $APG on June 23.

Its value ranged from $50K to $100K, &amp; since then, #stockprice rose by 14.20%

This #trade came in 6 days after the Senator's brother-in-law, Tony Malkin, a Director at APi Group bought company #stock"
75,75,2022-07-26 ,Positive,"On July 26, The members of the board at AREA QUEST INC authorized the stock repurchase program of up to 607,500 #shares at the price of 66,825,000 Yen

The #stockprice increased by 93.00 to a peak of 102.00 JPY on the day of the announcement.

$8912:JP #buyback #smartmoney #trade"
76,76,2022-07-21 ,Positive,"On July 21, @Elkem_ASA' Members of the Board authorized the commencement of its share repurchase program of up to 5 million.

On the day of the announcement, the #stockprice of $ELK went from 37.62 to 37.84 NOK

#buyback"
77,77,2022-07-21 ,Positive,"SBI surpasses LIC to become the most valued PSU stock with market cap of Rs 453,906 Cr compared to Rs 435,065 Cr.
#indianstockmarket #PSUStock #SBI #LIC #Valuation #sharemarket #StockMarket #stockprice"
78,78,2022-07-20 ,Positive,"From July 11 - 15, the Chairman of the board - Xiao Qing Yao at TIANJIN CHASE SUN PHARMA, sold #stock as $300026:CH #stockprice dived by 10.26% in the past 6 months.

#Shares: 992,300
Value: $1,049,168

#insiderselling #bearish #trade"
79,79,2022-07-20 ,Positive,"Top-level #insider @ChoiceHotels, Stewart Bainum, Jr. -  Exec. Chairman filed #Form144 on July 18

He intends to sell 63,000 $CHH #shares at the value of $7.04 M through MORGAN STANLEY SMITH BARNEY LLC

#Stockprice is Up 7.34% over the last 5 days but down 16.61% past 6 months"
80,80,2022-07-19 ,Positive,"#Insiderselling

Deputy CEO - Huabin Xu at HUMANWELL HEALTHCARE (GROUP), sold 690,000 #shares at the value of $1.79 million on July 15.

The #stockprice of $600079:CH has dropped by 22.34% in the last six months.

#bearish #stockmarket #sell"
81,81,2022-07-17 ,Positive,#Shell is considering returning more capital to #shareholders as profits rise sharply due to high #energy prices said CEO Ben van Beurden. #stockprice #dividend #oilprices #stockmarkets #trust #Vanguard #AEX #NSE #Nikkei
82,82,2022-07-15 ,Positive,"On July 12 &amp; 13, @aegplc's high-profile #insiders, Thomas Michael S. Rowan - CEO &amp; James Leahy - Non-Exec. CB bought 1,115,000 #shares, worth $54k

This marked the 1st #insiderbuying of the year 2022

In the last 5 days, $AEG's #stockprice increased by 21.66%

#stockmarket"
83,83,2022-07-15 ,Positive,"Daniel Harris Meyer - Chairman of the Board at SHAKE SHACK INC - purchased #stock of $SHAK on July 11

#Shares: 21,000
Value: $831.2k

In the last month, #stockprice of @shakeshack increased by 9.16%

#smartmoney #trading #invest"
84,84,2022-07-14 ,Positive,"Issuer: REDROW PLC

On July 14, The Members of the Board @Redrowplc announced the approval of a share repurchase program of up to £100 million

On the day of the announcement, The #stockprice went from 502.00 GBP to 518.50 GBP

$RDW #buyback #smartmoney #trade"
85,85,2022-07-14 ,Neutral,"Can someone explain  why #GoodNews drops the #stockprice🔻?

#amcshortsqueeze
#LITHIUM 
$amc
$hymc"
86,86,2022-07-13 ,Positive,"Anthony Chow - CEO and Yong Feng Hou - CTO @Newegg filed #Form144 on Jul 11

They both plan to sell 3,751,934 #shares worth  $13.58 million

#Stockprice of $NEGG is down by almost 57.33% in the last six months

#Bearish #InsiderSelling"
87,87,2022-07-12 ,Positive,"On Junly 6 &amp; 8, Executive Director - Justin Hannewyk at DRAGANFLY INC sold 79,227 #shares worth $72,850

The #stockprice of $DPRO has dropped 42.54% in the last six months

#bearish #insiderselling #sell"
88,88,2022-07-12 ,Positive,"Three top-level #insiders @Paylocity filed #Form144 on July 8

They collectively intend to sell 84,513 shares, or roughly $16.5 million.

#Stockprice is 🆙 15.83% since last month but ⬇️ 12.34% past 6 months

#Bearish #InsiderSelling"
89,89,2022-07-10 ,Negative,Every #LegislativeEMBEZZLEMENT= Yearly #NDAAs  #CorporateSubsidies &amp; Corporate #FarmSubsidies Bill Passed By #ThePoliticianCorporateInvestors @GOP @TheDemocrats They All Get Their Cut= #Dividends #StockPrice Rises From They Deny #WeThePeople To EnRich Themselves Everyday
90,90,2022-07-08 ,Positive,"William H. Hoffman - President/CEO @InariMedical filed a #Form144 on Jul 6. This is the latest in multiple forms filed by the comp. #insiders

The CEO plans to sell 90,000 #shares worth almost $6.5 M

#Stockprice is down by almost 23.34% in YTD

#Bearish #InsiderSelling"
91,91,2022-07-06 ,Positive,Today #Shell announced transaction (3.109.000) in own shares for cancellation. These shares purchases form part of Shell's share buy back arrangement previously announced on 5 May. 2022. It supports the #stockprice of Shell. #dividend #oil #oilprices #StockToWatch #stockmarkets
92,92,2022-06-30 ,Positive,"#Form144 filed @ML_Ayuda, Founder/Chairman/President/CEO - Marcos Eduardo Galperin plans to sell 100,000 $MELI #shares, valued at $66.17M

On June 29, #insider filed this Form144 through JP MORGAN SECURITIES LLC

MERCADOLIBRE's #stockprice is down by 51.04% over last 6 months"
93,93,2022-06-29 ,Positive,"#Insiderselling reported @desert_control, Brage Warheim Johansen - Co-Found./MB sold 37,000 $DSRT #shares worth $110.3k

DESERT CONTROL #stockprice has dropped 19.86% in the last 6 months, &amp; the comp. recently signed its 1st agreement with Mawarid Desert Control LLC in UAE."
94,94,2022-06-28 ,Positive,"#Buyback Announcement @csamhealth

On June 27, CSAM HEALTH GROUP AS announced a share repurchase program of NOK 20 million.

#Stockprice recovered slightly on the day of the announcement, rising from 51.00 NOK to 54.20 NOK.

$CSAM #stockmarket #trade #marketanalysis"
95,95,2022-06-24 ,Positive,"An Entity at OCCIDENTAL PETROLEUM, BERKSHIRE HATHAWAY INC increased $OXY stakes by adding 9,551,454 #shares worth $529.57M on Jun 17 &amp; 22

The last bet placed by @berkshire based on analyst report made huge gains, so we are looking forward to #stockprice performance now as well"
96,96,2022-06-21 ,Positive,"Issuer: MAX STOCK LTD

On June 18, The Members of the Board approved the stock repurchase program of ILS 40 Million.

Announcement Date: June 19

On the day of announcement, The #stockprice went from 580.00 ILA to 624.50 ILA

#buyback #smartmoney #trade"
97,97,2022-06-21 ,Positive,"WEST FRSER TMBR CO LTD's Top-level #insider, Kevin Burke - SVP, stocked up on $WFG by adding 25,68 #shares to his holdings, worth $202.1k

#stockprice is dived by 8.57% over last 6 months &amp; #insiderpurchase here shows that VP is hoping that this dip willl recover

#buy #stocks"
98,98,2022-06-21 ,Neutral,"#Buyback Announcement @EssiLux

ESSILORLUXOTTICA announced on June 17 to #buyback 2.5 Million #shares

#Stockprice has been showing a slight recovery, Opening price on June 17 is 136.60 EUR, and the Closing price on June 20 is 140.95 EUR

#stockmarket #trade #marketanalysis"
99,99,2022-06-19 ,Neutral,"What moved GCC markets? 

#GCC #GCCMarkets #OilandGas #SaudiMarket #SABIC #Stocks #Qatar #stockprice #Fed #Dubai #IPO #ADX #AbuDhabi"
100,100,2022-06-18 ,Neutral,"#MBA's globally for the next 20+ years are going to study the following:

When a #Brand #Reputation is approaching 100% 👎👎👎👎
#disliked how this impacts said brand's #StockPrice

Extra points for making this your #dissertation btw #MBA's 👍📌"
101,101,2022-06-16 ,Positive,"Three Top-level #insiders at Maximus, including CB John J Haley, recently bought 43,641 $MMS #shares worth $2.58 M

1st buy of year as #stockprice has declined, @Maximus_news (19th among list of Washington Tech's top 100 largest govt. contractors) deemed undervalued by insiders"
102,102,2022-06-16 ,Neutral,So what happened with #amc ? #stockprice #moass #squeezze
103,103,2022-06-11 ,Negative,#Hindalco is #nifty50 company in which #FII are continuously increasing stake still #stockprice  falling quaterly
104,104,2022-06-06 ,Negative,"#LIC share price touched a new all-time low of Rs 785 apiece on Monday; total market capitalization is now below Rs 5 lakh crore. 
.
#Stockprice plunged 10.23% since listing. 
.
With today’s low, the stock price has come down by 17.3% from the issue price.
.
#LICIPO #Investment"
105,105,2022-05-23 ,Positive,"“The #stock could fall, or it could rise” advice is the sort of value provided by pundits who focus on short-term #StockPrice movements as opposed to the overall health of a company."
106,106,2022-05-18 ,Negative,"I suspected this since the initial 9% buy: @elonmusk tweets about buying @Twitter (didn't expect an ACTUAL offer). #stockprice soars, stake increases, he sells with a 20-40% gain. 
Not exactly what happened, but won't be surprised if the purchase doesn't happen #hottake 🤷🏼‍♂️"
107,107,2022-05-16 ,Positive,Today #Shell announced transaction (3.821.263) in own shares for cancellation. These shares purchases form part of Shell's share buy back arrangement previously announced on 5 May. 2022. It supports the #stockprice of Shell. #dividend #oil #oilprices #StockToWatch #stockmarkets
